sentiment,content
0,time revision listen direngrey album nonstop day
0,liveinlove10 yes haahaaa break jellybeaniesss
0,tonibrockliss fyi connie carla not totally awesome preview make seem sorry one
1,jaycool2k want go peach also miss kittin pendulum chaseampstatus bloody beetroot not fair
1,think break heart emo sound meh
0,sunshineangel89 yeah course next time icq
1,epic fail chocolate fountain get clog
0,clean day
1,hannahxmakeup stupid putet will not let go chat
0,spinachpuff yeeeeah see empire top computer game
0,watch grey anatomy take blueberry muffin oven mmm yummy finish geogger study note yay
0,love john mayer update modeling hot sun sweaty jk seriously
0,panicitsleslie aww still awesome fun though assume
1,must weather b nice bad minute
0,antsrant drive insane want lie
0,tam98 look page realise radio show get play call want love track
0,buy new combo printer costco today officejet j4550 cause cheap ink old one windows7 not like fax part
0,janevans35 lol love macbook oh imac can not decide love ok 24quot imac trump 13quot macbook
0,philritchie boom boom see movie last night really enjoy
1,lexielovesgrey well sadly live boring city usa nothing
1,bored lonely work
1,howardlindzon kiss ass look forward central mountain pacific mother day tweet not forget pei
1,miss puppy
1,bloomsday16 sorry hear optimist thing get well we
1,cable signal mess miss ghostwhisperer news hurt toe cold like hot weather
1,jonathanrknight without ur tweet feel lost hit something
0,yousifmind good morning 3asa mo bs important class p
1,everything sooo mess life suck
1,acmaurer no wonder not get urbana
0,flahmanow nï½o te vi onteeeeeeem
0,go home enjoy leave day can not believe quickly week fly no time tweet
0,finish 1st new song soon youtube keep update
0,ifelixgonzalez really look like go rain gray la bummer sumtime
1,damn fallout hard game
1,can not wait see marco later not feel good
1,conference call hp give invalid pass code can not attend
1,pawstoupdate break heart
1,couple thoughtswa bore morning
1,go miss roomie staycy no long roomy start tomorrow
1,girlx bottom thing not move feel bad man
1,follow twittbitch cause gerhemi order
1,dress no go
0,samiyusuf sir everything great inshaaallah
1,many farewell party sad see people leave
1,stii no make realise doomed humanity usa
1,not good news time incredibly hard decision
0,love sunshine happiness bring
0,voice nemo turn today thank npr
1,johneast miss one year forbidden fruit tree garden munch disappointment one
1,cat die kidney failure math test day need get well
1,getting use get cold asthma pay
1,well rite gt headache
0,beautiful day wish energy enjoy
1,get early pay bill figure like bandaid get quickly will not bad wrong
1,guess not talk orlando magic whoiskenan nothing magical
0,phone ultra fast late firmware update instal
0,need bear hug go camp today
0,menchuly friday sweldo day
1,ederyn bad day t_____t gyah no car babyclient teethe miserable forget pack lunch get new car
0,alkaline trio sweet save day suck great time anyways awesome see everybody hangin
1,fudge bsd whole paper tired ugh hate school time sleep
0,fun daisys mexican fiesta
1,damiencripp awesome shame though mark fiddle player die last month fab version good riddance album
1,wish get fij
0,can not contain tooooooo excited
1,farctum oh poor thing hope easily sort not expensive
0,ce_ci ewww poor wish good thank god rolland garro month not p
1,llcooljew poor dear fellow busty maven gym belong peac
1,see baby dove fall tree break neck die try save could not cruel world
0,good morning everyone
0,shaymonkey comin wit u
1,miserable feel like gona cry sux
0,way burial
1,robo__rob ikr hate lack troyella ggmow always make sad
1,can not sleep without nearby
0,try oprahs free unfried kfc love go back another try top boba wolverinechille popedaveben
0,polly scattergood new single today download please not touch ep itune ace
0,alyssa_milano good morning alyssa hope u great wonderful day today happy cuz today last day class yay
1,like friend hurt u love friend feeling not try sleep really try give
1,syreeta306 girl u sit ya double decker neck ass talk ppl ur level not
1,thank much discount code look forward try pad
1,quoti think break heart try keep together fall apartquot
0,barbsaka love find regional group twitterer glad could connect new people
0,work still quotrecoveringquot amazing beautiful weekend mention incredible friend
0,go mikey cousin wed mom catch bouquet
0,bumblebeex0 yeah freedom awesome great little independent
0,michaelsmith22 lol wen mum use take kid wud always eat bread instead haha
0,haha watch funny ass video youtube make day
0,bbq time
0,hahahahah wake today totally miss lecture quiz open lab useless chipotle w silvera jenny greeat 8d
1,can not believe leave place tomorrow
0,cloverandbee yea way go super excited great midw resource midwest pride
0,svickn gmorne good know alive well today
1,traceeellisross no not miss girlfriend season
0,dinner jiuliani family yum
0,eat truffle yum
0,mumphlett good girl nevah tell hahahahaha hope good weekend
1,mmitchelldaviss mitchell try add xbox live lastnight live show friend list full
1,shrunk favourite cardigan hubby say buy new one practically live gone shall say word
1,hit bar two people lame tonight
0,feel high mt everest
1,fight jere death avoid wet willy get anyway q come bike ride
0,davidarchie hey david wonder receive letter song malaysia please reply nice day
1,empsfm work miss shannon could barely contain amazingly good time
1,se7enup cï½m anh ko chiu noi noi nhï½ tifa roi thang cloud danh dam gi mac ke no quotgt
0,lizziecoulter oh dear sorry laugh
0,finally make headway family room home finally begin look like btw dial go die
1,new nick name arosh like like
0,good monday still wet outside inside sunny feel surge warmth energy good day
0,lovely night guy full moon think go onto roof lol
1,kixxa somehow totally distract shirt not even know whysuddenly like guy next door
0,picture pretty day fb
0,mistressmia not hear title author must look enjoy
1,hit sack fellow twitterheadsso treat mom today
1,no class next two daysbut work everyday today til next wednesday sad
1,retrorewind dave can not happen not work listen whine big time
1,cause trouble partner crime
0,marciheart send get first check make enough lol work like hour far
1,clumsyflic kid get second chance shudnt mowgli not gutted
0,phone keep beep thanks alan speeeeeen
1,juenese totally feel bad guy haha good miss guy
1,empitome epic fail know epic fail
0,sopphue foot think let since international twitter haha
1,low low low low low low low low low
0,elliot79 not think bear cuteness early day kudo fair empress
0,good part movie kirk total babe
0,mr_bill2030 good morning
1,majorspoiler majorspoilerscom problem not get site work
0,nice weather today alex
1,johnhensel hate u wait one week see cuz puerto rico still come soon
0,back new mexico happy mother day mother
1,omg go robinson tyler wfm freakin miss anthony ugh today kinda suck lexlt3
1,lose dollar always lose money
1,eminem freaking awsome go back seam like something big inside nois not alien
0,liz leave aww good see
0,morning everybody
1,grahamcoltonfan hahah except haley get hit car yay leyton
1,international student today sooo much fun sixflag friend not know well enough
0,billbergstrom look like great time happy birthday bd girl
1,look old stuff find record old band wella band month ever hear
0,feelin bit dangerous watch tha vid
1,photography class summer cancel go somewhere not want miss spring game no email eric swist
1,lot catch weekend bhr host busy busy busy
1,costume shop clean starve bring food
0,thriftymommy enjoy see everyone present saturday clark howard event especially preclark speaker
0,second last biology first time ever time haha
1,bird fly window parent house snap poor neck get to bury
0,good morning go to clean house bit maybe clean nothing rest day
1,net die yeah sad
1,amazing hollyoak poor warren lmao
1,follow mz5thave cause really shop even though not showin love no
0,easytouch let go home
1,friend go new york without get picture smith
0,ok mother fucking duet hysterical lol
0,lemonjat hehe funny midget thing cheer alex wave germany right spain
0,say give excuse sleep bed lol different size would switch
1,need relocate west coast weather killin
1,queenbofmakeup need post not time tour apology supporter
1,sometimes feel like person world without iphone
1,finally feel like nice summer day feel sick
1,rainbowanne well nice thought last maybe hell leave properly next time cross finger
1,feel guilty bc think fault hard drive die
0,back home bathing kid iron clothe hubby nephews graduation tonight remember
1,back lunch pour rain ugh ohh well least get death cab cutie mood
0,themanwhofell compliment take thank key
0,bobbiehouston haha photo funny hope not disturb passenger much flight
0,iamchrisc soo jealous right
0,djunity thank
1,jaidenkhat sadface
1,chopperdave12 think go wind go home go bed
0,rockonrebelchld happy mother day well good one
1,need water paper towel coke store feel sick go get
0,aimeesay aww hope fly jt episode usually really good early far ep hassnt disappoint
0,em get big list today hubby work weekend go we think
0,read book instead revise thinking lunch heart rate bpm case want know
0,far go much well expectedsure help raise dog feel thing right
0,amhartnett sound like fun
0,stevensmith1990 indeed twitter mate happen enjoy hope see arou
1,dave_mueller yes love little bit complicated want bb not work
0,love first monday may bank holiday
0,beer pong jess
1,mcdonald mccafe taste like chewin cigarette butt miss sonic card
0,head office quiet stockholm least not sunny
0,chill listning seal
1,try deny begin miss every single day apart need sprite haha
1,myweakness loving always let negative people life
1,santiaggo new yorker cover do iphone amp jealous not one
1,stephenjerzak awww not pass speech
0,borgintraine see like not bad
0,dreamobscene know feel lovely relax weekend
1,megs775 sorry megan sure find something quick
0,myucan91 wahahahaha wanna naaaaa wellhapit na guess hahahaha yes know hahahaha lol narn haha joke
1,katiekilljoy wanna play tonight pout pout side face
1,tummy hurt
1,fudgecrumpet ok believe youbut belly buttonlol
1,not want ugly anymore
1,first sport banquet without katie
1,thatkadygirl every day life lately feel ya girl lt3
0,soupysoup time today heinz cream chicken mushroom yum bbl
1,dtballa2322 want forgive forget please not like promise go live without drama nowso please
1,follower sad
0,skingirl69 yeah excited
0,iamchrisc haha cute ps thank reply make day haha
0,ok get nail do day sweet
0,jen004 nope not quotdonequot yet
0,pamluther like put fruity article website permit
0,world chillin bout go get money economy no money easy money anymore
1,boy girl lie awww santa not real either
0,time bed hope saturday lovely mine
1,singpolyma aaaaaaaahhhhhhhh hate internet people learn quotnative widget always bestquot
0,forgot lumpia pancit fridge last night yay
1,try straighten hair eff hot also need food
1,diesel yaris 70mpg sad not available us awesome
1,failure
1,work suck big time
0,spitphyre well good luck twpp hour time think way home fun
1,theemptynest beforesometime turn thing feel forgiving remould cut reform
1,miss baby
0,cassapel damn get excited nothing hahaha
1,jennwadsworth sad school close
0,do run km 1h33mn 153bpm feeling great no fatigue no speed
0,haha lacey shutdown livestream party time
1,eff tired
0,traceyctt live pain bring
1,rawr_333 yeah could not call dad mom brother either mom phone dad phone card expire brother work
1,take foreverrr jess_0000 get bored
0,mile run meter swim thing look well well lay bike today
1,become edgy bcause lappy not arrive yet
1,want go home
1,want visit animal late
0,oh yeah radio1 play earth wind fire
1,saschaillyvich guess mean not betaread either story huh
1,good drink jager lick hot asian girl foot bad remind never get asian girl ever
1,oouchhhh pinch nipple accident try fix top
1,seoulbeat romance zero funny
0,start day little northern light
0,jeg007jeg yay coutchcouch
0,star trek sooooo awesomespock kirk hillarious see sooon
0,thedebbyryan leave message hope get
1,cry omg feed pain
1,tgif bad weather suck
0,hatz94music get guy chat lol
0,mollieofficial congrat mollie wish could get ticket
0,bit soul time mama visialize next living environent speak soon
0,buy ludi rug dog good
1,wellonly one week leave holidayssad sad
0,we heart break little time year know love next week new week
0,glad good job
1,science class right urgh stupid project not wanna go track school tired lol
1,jpsherman true unfortunately lead movie not die high note friday 13th model
1,tired sick well sunday sing morning night
1,holiday not fair
0,fakerparis little tired gland bank holiday lie
0,isabellacane thank go to make joke say look like mine
0,ha sure hey text normal
0,parislisbonne glad like want
1,head huwwts
0,dinolich know still want see
0,happy monday twisher pass coffee
1,twisty7867 use paintnet x64 run crazily fast can not afford cs4 unfortunately yet
1,stick shitty traffic day go crap
0,boomkatt yes yes network whore fullestand girl rih next
1,nileylover09 well little bit sick fine
0,lilazngangsta awesome day school
0,sadly awake wonder contact info fun folk hang shop yay 23b miss guy
0,happy see kurt spin
0,sammihouse awww lol yh worth mcfly worth eekk
0,annadifilippo fun without pasty lt33
1,natsolovelyx3 knowww yur mother bitch not want take movie bitch
0,happy imma get see lovely lady
0,whoa shower session
0,last day college today
0,saturday partytiiime
0,manage find bottle pimms weather go
1,verbs_n_noun ikr parent take cake tho not grocery shop go eat time
1,soccergameball use breathe soccer live socceruntil hurt knee badly sad day waspass link around
1,good day skint
1,last wr0te againgot bore previous dayss
1,course rain five minute finish water flower take half hour water
1,rorzshach oh no hug
0,rissiapriyahita zanidia clarixxxa thank udah di follow
1,moggy99 no internet last night er brill massive explosion end nearby gas work er standby
0,ok guy turn laptop pack tweet u guy road bbl
0,love jonas brother trend topic maybe taylor turn next
0,himynameisryan let know go babe good luck
0,migrate sybase ase sparc sun solaris base solaris x86 base fun
0,yes really back could not wait day arrive finally gale back pos
1,heresmyhello92 hate change course fan life lt3 oh not meet rob something go horribly wrong
1,darn allergy not like time year never use problem either
0,loven rs ftw pvp bac
1,sbcvandy omg know give stroke everytime go get mad quietly window roll
1,break girlfriend feel lonely heartbroken sad time guy n
1,wish pool
1,iamlittleboot record eqpmnt full day mind go blank outfit gay still not arrive eitha
0,fedgrub dull life soundtrack one favourite showss
1,suprnaturlshana look much well short hair
1,truck full silver bar implode delay we hour not even get bar trouble no photo
1,lose favorite pen good thing back
0,xstaylor lol consider recent debate dl not touch bad boy thing like logical one
0,mrjaydeeone thank add ill try sign later get home still no luck ill email someone
0,sharktailypp red font top nice put old entry
0,workhillcat game cent hot dog haha
1,suck school nothing
1,get tonight sytycd online anywherestreamed like hulu pay like itune miss favorite judge can not sleep
1,hat leave teddy miss boy damn
1,fucking love alexander william gaskarth
0,vene2ia great
1,ooh feel sleepy not wanna go school 2day
0,lifeincyan not random love star war day not realise can not believe almost
1,sunilsebastian still lot time stupid contract month change provider
0,lovelybookie _ yaaaay mish follow gab
1,hit sheet
0,bagger haha yeah
1,sad right lose mobile phone earphone waz feel little incomplete feel
0,susannaheanes bwaha far away though look fluffy jared hair shinnny
0,echoinghim pleasure play guitar fun
0,hangin cool ass people
0,jtimberlake hey see snl 2niteampi love especially crumpin titboob scene quotcrumpin34 dubquot wow hilarious
0,borgellaj know cat
0,great time vacation sure heck not want go work tue
0,realchrissystar well back sunday play horse last night mex not miss
1,poor bretty yay phil
1,bitter sweet moment want leave nothing go home
1,mmm homemade pizza help make homemade cheesecake eat soon amp family nice day mother amp nanna
1,sad hollyoak
0,enjoy xmen w dwestbrook time rest drive homehappy mother day twitmom
1,awake anybody else awake wish live us since fun happen asleep
0,great_northern awwww look like one kitty little furry ball good
0,joannah11 hempware case yeah start work tomorrow excited
0,thank everyone unfortunately nothing do sale speak not convince diamond nothing
1,kalediscope girl cry allergic seafood
0,bd_illustrate hard argue w cause make great point can not wrap heart around one
1,vosdjs lol yea fondue point chocolate lava cake really wantbut will not monfri babe
1,say still dream nikon d60errr eat kuya please lang huhuh
0,clive birthday pat
1,ravenlar sok try plot alternative speak sigh
1,get back home shit meet tmrwstaying sea view even not fresh undergarment tire hrs working day
0,xlesseyx good cup cake
0,rishlove make smile rishlooband
0,oh god cheesy disco music start everyone get table need wine
0,rozarin whaa really definitely optional though like also crazy
1,wow really missin family today baddd
1,need sit inside hurt ughhh
0,happy mother day
1,blockbuster week new zealand quotwolverinequot tomorrow follow quotstar trekquot thursday
1,pauldoussay yes stupid girl kind
1,break laptop
0,get home day pamper shop white outfit totally complete
0,get ready summy yummy cocoa crispie
1,japumpy need botox work lip go change name angelina jolie thought sad though racism
1,recession hit veronique branquinho quit company shame
0,weetabix choco milk yum
1,wrong flickr quilt top photo show click sad story
1,god want sleep
0,workgettin pay sit arse no guest yet mum comin eexcite
1,awh last day tour ill miss hangin wsendoutscud child soooolet make awesome nite ok
1,well day watch panther tonight beat saint finger cross cause no qld team play round
1,fuck elora danan break miss last nsw show def need hit melbs someone come
1,sick kid trump advance planning bummer
1,go bed dnt feel well always
0,irontec thank support
1,poor greg stupid uk always sympathy vote xo
0,yay sherbert chocolate nutritious
0,angelakeen next wk c dr maybe would love go mac grill john not thought u
0,thank gut follower mean lot
0,slashfilm peter follow oh fun europe
1,kdelboni well can not get cupcake can not connect tmobile network sim card corrupt
0,googledocs folder instead label like gmail kind like label
0,lol kalaharinet marketing quotmay 4th youquot
0,officialtila thank interview mama enjoy night
1,finally finish exam amp home not watch otalia amp pbp bpd no otalia today hmm via
0,ankita_gaba evrytime listen name tat plce remind mojojojo dexter lab
1,rawrgoesaimee ah bibisita ka kina gq bukas sasama ka sa rusher eb will not able visit jumpstart tom coz something
0,smithamherst minireunion last night fun miss old day
1,yeah not last long
1,dosent want go work tomorrow
0,shhhweeeetjayz bros back prom
1,marijo008 no sabido nada de ti make bit sad must say
0,inkcircle thank
1,lonejohnny awwww ill wait hope not rain
1,meli_beli haha yeah u oh well always next yr chin princess hehe
0,thing really demand lot time anyways get to get breakfast watch naruto late episode
0,emilyyoung09 havin fun x btw not bowl x xx
1,go fold laundry hit sack boring saturday evening
0,wp101 cheer
0,chrisbrownweb hope ye get dem ur site amazing get everyday try amp fail lol
1,sweet_charlotte another throw sure one american family
0,excited r r mother day
0,drewpeacock85 cool dude yeah hop rate still lol yeah not sure ill mar par birthday dinner
0,kristyknox sound like fun think lol naughty iron watch nk porn youtube instead lmao
1,davestyle haha yes bs man lie show one not ill marry
1,susiegroove yes thank contact 2ce no response
1,spyou oh no sorry hope back bike soon
0,justinphillip awesome kind
0,kyspeak yah footlong sausage mah halal placepiggy sausage big
1,dougreport check work sorry
1,laura_mckay2009 sadly no sitting inside mobile signal will not work garden ill open wine bang pm though
1,thedebbyryan look like ninja tutle xo lol
1,lay bed sore snuggele domino not wanna work today
0,liannaknight can not wait see week not go fast enough
1,conjunctivitis left eye sign something wrong deserve thislol die people
0,woohoothis dayweek lord make remember get wear jean amp chancla week
1,noooo go orlando omg go to cry
1,dann vegas misconnecte next flight midway tonight hotel will undie
1,play tennis bel air court wet play anyway
1,hate interview go horrible today
1,not get
0,day day shre day special k challenge feel fantastic
0,hoisin duck pizza salt pepper pizza gelato dinner edmund jade good time
0,awww buy mom cute thing mother day woop woop mee expert shoper
0,amedawg18 haha great yeah zachary quinto spock really awesome indeed
1,not everything workout plan
0,finish film day another fun day set hahaha
0,get puppyyy name think romeo cute
1,busy day no time tweet bmore happen weekend
0,oh yes level
1,massive headache
0,santoscarman lot mango haha baka naglilihi ka ahh haha joke lang carmen
1,holy shit super sunny friday whitsun tube deeeesearte wish park
1,go upload photo email would ten tenenen tenen do
1,soooo cold amp ugly
0,finish sketch und go skate yeeeehaaa get new deck
1,seem really quiet tonightam jealous clearly exciting life bed think
0,mjasenn totally owe week oncall duty appreciate not jill town
1,troublepandapr ok not true plus insult say insult try cheer butï½nadaï½
1,bighugclub get around problem good idea
1,singz think jst abt do ur girrrlfriendim leavinim leavin jst love cm
1,sadill miss grandma angie always like 3rd grandma
1,anachronous miss
0,daughter kindergarden
0,put brat bed chillin noodle
1,alancarr quaver sandwich tea
1,scavengerlor lol clever extremely jealous amount follower
1,officially book seattle cfine1 ebotkin12 go good birthday weekend ever bradlawrence make sad
0,wear new victoria secret slipper
0,davorkapozgan congratulation great funky site u waaw
1,miss smartbrain bkk na
0,johnlegend charmingly funny
1,pinkpop weekend amp get no ticket mean no bruce springsteen oh well wwwwweeeeeeeeeeeeeeekkkkkeeeennnndddd
1,edge leave contributor list month issue x ffs lt werd
1,curreny_spitta catch traffic around howlin wolf 30mins wonder wth go onmusta nice
1,goodbye picnic classmate today weather fuck beautifuul
1,wimnms well miss think would really like retrina
0,finish watch last star war
1,jonathanrknight actually wish back tahoe miss
1,realize today last day see good friend tanner goin miss much
0,tkpleslie friend call quotmother earthquot ever seem nurture second nature god baby
1,hot texas ac upstairs break really hot house
0,sugafactory omg haha half hour late work whoop hahaha h8 workin sit mornin
1,not look forward drive storm
0,eat one big subway cooky glass warm milk yum
1,asheruk want go birthday
1,judez_xo pretty take like hour ursssss
0,photo get print day ago ready norskart exhibition
1,long painful mile today knee ache approach year rough not accept well glass draft help
1,last day school last concert life wow say emotional really go to miss mhs graduation practice today
0,get fab portrait ready upload today
1,puppy sick
0,pixelbase steverumsby care eurovision yes jurybased vote year eurovision2009
0,postlemonkey oh awesome yahooo good night sleep tight not let bed bug bite
0,good morning
0,kyleandjackieo body tom novy voodoo child rogue trader good memory song
1,rip officer edwards may god continue bless family wit cop kill cop see thing happen quotthe wirequot
0,ssnape yes though perhaps not think like vague seem popper term
1,raining can not go jog house gym
0,catch email research project yay label search gmail much easy
1,sad fitness center reopen not zumba class anymore find today last class closure
1,depressed right idk
0,another fun night chill wit homie green turtle n parkgood timesgood time
0,start great mother day season
1,poor imissbradandjen mom tell look like hooker skirt not short degree
1,not know watch holly break heart
1,chrisbrownweb accord bow wow bestfriend chris not twitter not want hater probably
0,good nite everybody ltbaby boygt
1,lunch time feel really odd today generally not great
1,barbschaefer yearle pet home die sad whole family
1,want see next gossip girl episode
0,f2point4 oh nice something nice next week go madrid next weekend day
1,back work warm today
0,time always seem fly wade weird like lot
1,paycheck nothing piece paper
1,day start bad get well
1,myinnercougar sorry day bad gettin drink good plan
0,yay sing loud fall boy time low cobra starship friday win
1,oh obviously back stupid sleep schedule luckily church not tomorrow
1,bore wait till go tha bus
0,missamanda yeah ill take care tonighttomorrow pay night easy
1,beverleyknight hiyaaaaaa get back scan wow amazing cry haha xx
1,peep come chitwn today weekend hang w not time always workin
1,roxie not feel well
1,definitely work sunday afternoon late evening
0,new shackletonmusic single buy awesome well do boy
1,drive nbcs burbank lot line leno wrap around building long ever see leno last show
1,come online big cause ruin
1,spend last hour sign yearbook ill miss guy
1,bad mood
1,ha get another followfriday take mage oh list thank lot lowjack ya jerk
1,not know right nowpretty bored refuse study suggestion
1,jenny gorgeous pffff love style want outfit
0,can not wait make call tomorrow get to keep move forward
0,eltonmcmanus amp matey
1,elmers10 miss u
0,christian792 lol twitter addict
1,madly love rowwishing money
0,darren linkedin yes say twitter friend never idk people
1,jesusfreak1900 probably suck
0,awake husband snore faintly side happy
0,excite lot good thing happen workwise melbourne
1,jerseyzmorenita sad true not right
1,want see bud mel miss hur load
0,kashimae thank kashi think day mad disservice not take ur class
1,fall holdin kale hand todayi hurt foot amp bruise forehead klutz
0,love two favorite show acronym lol
1,mdfogarty sad work today can not win ticket
1,tommcfly tom today school play pov break almost cry show sao paulo today wish could
1,springwestend can not believe close 2moro never chance see show good luck everyone star
0,mcrsavedmilife haha yes
1,2serenity no fair
0,taylorswift13 woooooooooo come nottingham point lovelovelovelt3
0,year old barbie doll still rock itthat girl hot ken be not bad either memory
0,tomorrow valerias lunch go get hair do arrave late get cousin babtizm whatever spell
0,mcfly gig last nightt omg amazin not sit whole thing mcfly see good mate tutus
0,back first 5k run race still alive
1,jpadamson not wait red could age know mean though really look new job
0,wroe16 ohhhh excellent songhello friend
0,great shot yesterday edit pic
0,maybe could drill hole lol oh snap sorry could not resist
1,bored barely even tweet nothing talk boredboot
0,play skate two hour need get actually skate late
1,not get pay week roll tuesday
0,anyone drive newish diesel car advice pro con not interested old diesel car need recent model experience eg suv
1,philiphotchkiss sorry not see twitter user name tomclain
0,arizona_abby thank check
0,e__o lol tiz good song
0,danny30011980 gavinmusic great pichave upload pix tomoive no laptop tonight
0,willy9e not go sleep kid p
1,gfalcone601 britain get talent cute little girl feel sorry hope simon find time xx
1,alwaysmuah hey ruthie girl u send lovely twitt never respond hurt mikey dion
1,hey dude turn flyer poser not nice
1,dtothealex really alumnus not know not mac yet
1,good morning folk day go sadly day giro mean tour not far away
0,montiasutton wish could really love u around ill see try use national champ pull lol
0,sln25373 hahaha like dougie harsh happy reply
0,ari
0,byeeeee
1,beautiful day shame get spend office
0,finish work
1,rip sammie cat
0,build radio studio go podcast foundation call insight foundation
1,aroundtheus cheer
1,finsh work eleven even allowd cauz really not want lol
0,really really get excite
1,still sick home
0,freshypanda haha drunk golf sound awesome predict great score today
1,miss answer nth time make sad whenever time always
1,3wordsaftersex hurt
1,shower time
0,listen jubey snore phone hehe goodnight
1,chris pine zachary quinto leonard nimoy snl tonight quite possibly fun geeke long time
1,ugh car get steal sometime yesterday evening morning husband due go work like afford
0,upload lot photo priceless memory
1,flossalini no panasonic chargersorry
0,totallyapple fun
0,fluffdoodle lol triplet haha glad morgan get bag even not ride ride
0,meet mother scrub role yeah quotcause fly
1,laurenyant mean spend time alone friend family sad
1,bigfanfriday 2day amp go amp friggin loose life suck
1,jamie_127 poor baby need aloe nope sorry no hint
0,trixie360 zombie wrangler sound like fun not halo war
1,please please anyone
1,need get life together aka apartment clean back birthday
1,oohlulu_bell whatchu goin monsterpalooza weekend we no ink will not stressed contestant year miss u x0
0,tegs03 bahah would really funny would really cut haha
0,ton fun yay prom lot fun horayyyayayay
0,andph112 hope enjoy holiday
1,really want job
0,taylorswift13 welcome taylor although raining can not wait concert x
1,wish lay sand listen wave crash shore
1,flashlight hah wait till turn
1,meerasapra seriously use spend time house
1,ugh foot feel like go fall
0,inkrediblenyc hey lonnie ill next weekend can not wait
1,loulou_de_b email get people want not site shame trouser
0,make tonight watch little kid swim watch movie haha love babysitte haha
0,work birthday not bad get work ruby rail
0,harleyplay dezzy88 baitersss hope tonight fun
0,bobbinrob sparkly peen win solve life problem
1,argh
1,aww okayy well tell tomorrow
1,never think say miss job commute cubicle free food amp coffee downtown quit
0,back saddle four awesome day leeprovoost old gang try avoid tweet flood long radio silence
1,annnnnnddd another one bite dust
1,find swing set sale block home super cheap want kid no one answer phone list
1,nudge not much go lately umped game wknd take one pill
0,hadoukenuk weheyyyy give thank midi keyboard
0,howie_d pleassure make smile nice day make smile well twitter aahhh nice
0,rsvpe qiuqius wedding invitation
0,redonculous video tape hahaha
1,jenny fall asleep not come
0,start morning coffee early show harry home improvementmy fav subjectquotdezignquot
0,cocosbutter already goodi get meet
1,finally get money bad go bill
1,green day perform snl next week sorry make happy still ditzy justin timberlake skit
1,wish go see patmaine johnmaine garrettmaine jaredmaine kennedymaine today sad not
1,german think able go germany free whenever wantplz
0,way home think
1,roar_fear_me samee suck
0,alliemunchkin youtube love hd video well maybe
1,everyone seem leave weekend sigh bed
1,tiataquito stop
0,still awakedoe assignment play virtual farming
1,mamahinai list pay get 21you can not go gettin hot go outside
1,big food fightmosh pit ever miss across school
0,live band first performance pretty damn fun
0,java concurrency practice probably good java book ever buy recipe interrupt block io op
1,pff life suck sometimes
0,travelingcircus oooh spoil teenage fantasy
0,another bday w special friend
1,today work tomorrow
0,nat4dawork hope show go well want u know home muah
1,hubby go pick fringe comic_strip today store work store business no comix houston web
1,inlovewitharmy timeeee mom say something daw tomorrow eh never compelte
0,get back karaoke bar metreon watch millionaire matchmaker
1,comp mental health would not take samuel rogers center city give appt june 8th day worth pill leave lt
0,hi charlie thank follow nice know another ollmann new world
1,drive work run late like always no time starbuck
